prepar,previg,precon,prekb,prer
107,1,1,75,85
107,2,1,90,85
107,0,0,80,80
108,1,1,100,100
108,2,1,94,94
108,0,0,70,100
109,2,1,0,100
109,0,0,100,100
109,1,2,0,100
110,1,1,67,100
110,2,1,44,90
110,0,0,69,89
111,2,1,53,91
111,1,0,100,100
111,0,0,100,100
112,1,1,100,100
112,2,1,100,100
112,0,0,100,100
113,1,1,98,98
113,2,1,64,100
113,0,0,12,100
114,1,1,100,100
114,2,1,49,94
114,0,0,100,100
115,1,1,90,89
115,2,1,32,78
115,0,0,79,83
116,2,1,100,100
116,0,0,100,100
116,1,2,0,100
117,2,1,100,100
117,0,0,97,96
117,1,2,4,100
118,2,1,100,100
118,0,0,100,100
118,1,2,0,100
119,2,1,100,100
119,0,0,100,100
119,1,2,0,100
120,1,1,100,100
120,2,1,83,83
120,0,0,91,100
121,2,1,0,100
121,1,0,0,100
121,0,2,0,50
122,2,1,1,99
122,1,0,0,100
122,0,2,1,99
123,2,1,50,75
123,1,2,0,100
123,0,2,0,100
124,2,1,74,100
124,1,2,7,100
124,0,2,0,100
125,2,1,51,100
125,1,2,0,100
125,0,2,99,100
126,1,1,1,99
126,2,1,1,100
126,0,2,1,97
127,1,1,50,100
127,2,1,50,100
127,0,2,0,0
128,2,1,60,75
128,1,0,70,97
128,0,2,5,90
129,1,1,0,99
129,2,1,22,100
129,0,2,0,100
130,2,1,100,100
130,1,2,0,100
130,0,2,0,100
131,2,1,100,100
131,1,2,0,100
131,0,2,0,100
132,2,1,100,100
132,1,2,0,100
132,0,2,1,100
133,2,1,88,92
133,1,2,4,95
133,0,2,14,86
134,2,1,22,99
134,1,2,13,99
134,0,2,5,85
135,2,1,100,100
135,1,2,84,83
135,0,2,100,100
136,1,1,90,100
136,2,1,93,100
136,0,2,40,60
137,1,1,73,70
137,2,1,34,76
137,0,2,47,73
138,1,1,100,100
138,2,1,100,100
138,0,2,100,100
139,1,1,62,72
139,2,1,61,69
139,0,2,57,67
140,2,1,75,95
140,0,1,40,95
140,1,0,10,90
141,2,1,85,92
141,0,1,0,82
141,1,2,9,91
142,1,1,100,100
142,2,1,93,100
142,0,1,77,90
143,2,1,85,100
143,0,1,85,100
143,1,0,78,83
144,2,1,26,71
144,0,1,100,100
144,1,2,0,92
145,2,1,50,75
145,0,1,100,100
145,1,2,0,50
146,2,1,69,95
146,0,1,72,91
146,1,2,9,90
147,2,1,50,99
147,0,1,99,99
147,1,2,0,100
148,2,1,42,100
148,0,1,100,100
148,1,2,13,99
149,2,1,11,59
149,0,1,94,91
149,1,2,0,63
150,2,1,39,94
150,0,1,86,100
150,1,0,95,100
151,2,1,9,8
151,0,1,100,100
151,1,2,0,100
152,2,1,99,100
152,0,1,100,100
152,1,0,1,100
153,2,1,78,100
153,0,1,100,100
153,1,0,50,100
154,2,1,100,100
154,0,1,100,100
154,1,2,0,100
155,2,1,100,82
155,0,1,100,100
155,1,2,0,100
156,1,1,12,87
156,2,1,57,86
156,0,1,90,89
157,2,1,100,100
157,0,1,100,100
157,1,0,100,95
158,2,1,69,69
158,0,1,79,86
158,1,0,65,75
159,2,1,76,99
159,0,1,99,100
159,1,2,3,99
160,2,1,100,100
160,0,1,100,100
160,1,2,0,100
161,1,1,39,100
161,2,1,90,100
161,0,1,100,100
162,1,1,100,100
162,2,1,100,100
162,0,1,100,100
163,1,1,100,100
163,2,1,100,100
163,0,1,100,100
164,1,1,85,90
164,2,1,94,98
164,0,1,92,98
165,1,1,93,94
165,2,1,81,92
165,0,1,91,93
